Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,62.485001,63.048000,59.803501,60.770500,60.770500,52170000
2020-03-12,56.299999,59.693501,55.665001,55.745499,55.745499,84534000
2020-03-13,58.950001,60.987999,55.857151,60.986500,60.986500,74002000
2020-03-16,54.799999,57.613350,53.722000,54.216499,54.216499,85048000
2020-03-17,54.655499,56.542999,52.800499,55.990002,55.990002,77230000
2020-03-18,52.825500,55.325001,51.863998,54.840000,54.840000,84668000
2020-03-19,54.652500,57.898499,53.005402,55.764500,55.764500,73022000
2020-03-20,56.785999,57.199501,53.274502,53.616001,53.616001,72036000
2020-03-23,53.066002,53.566002,50.676800,52.831001,52.831001,80882000
2020-03-24,55.188499,56.750000,54.530998,56.723000,56.723000,66890000
2020-03-25,56.323502,57.445000,54.300499,55.124500,55.124500,81630000
2020-03-26,55.590000,58.498501,54.676498,58.087502,58.087502,71434000
2020-03-27,56.283501,57.533501,55.295502,55.535500,55.535500,64170000
2020-03-30,56.251999,57.581501,54.824001,57.341000,57.341000,51482000
2020-03-31,57.365002,58.765499,56.907001,58.140499,58.140499,49728000
2020-04-01,56.099998,56.484501,54.872501,55.280998,55.280998,46884000
2020-04-02,54.912998,56.342999,54.820000,56.042000,56.042000,39298000
2020-04-03,55.950748,56.176998,53.990501,54.894001,54.894001,46268000
2020-04-06,56.900002,59.733002,56.547001,59.346001,59.346001,53294000
2020-04-07,61.049999,61.250000,59.111500,59.325500,59.325500,47746000
2020-04-08,60.325001,60.953499,59.408001,60.514000,60.514000,39502000
2020-04-09,61.203999,61.278500,59.836750,60.572498,60.572498,43508000
2020-04-13,60.459000,61.025501,59.379902,60.877998,60.877998,34796000
2020-04-14,62.254501,64.103500,61.846500,63.461498,63.461498,49408000
2020-04-15,62.280499,64.023003,62.020000,63.123501,63.123501,33434000
2020-04-16,63.705002,63.950001,62.131001,63.173500,63.173500,50362000
2020-04-17,64.242500,64.721497,63.561501,64.162498,64.162498,38980000
2020-04-20,63.549999,64.080002,63.068501,63.330502,63.330502,33910000
2020-04-21,62.349998,62.713501,60.485500,60.817001,60.817001,43060000
2020-04-22,62.277000,64.280647,62.099998,63.160500,63.160500,41848000
2020-04-23,63.577499,64.665497,63.283501,63.815498,63.815498,31324000
2020-04-24,63.058498,64.019997,62.472500,63.965500,63.965500,32792000
2020-04-27,64.800003,64.807503,63.450001,63.793999,63.793999,32012000
2020-04-28,64.396500,64.402496,61.610001,61.683498,61.683498,59026000
2020-04-29,67.072998,67.999496,66.266998,67.073997,67.073997,75872000
2020-04-30,66.244003,67.640999,66.124496,67.432999,67.432999,53378000
2020-05-01,66.425003,67.603500,65.550003,66.030502,66.030502,41450000
2020-05-04,65.411499,66.383003,64.949997,66.339996,66.339996,30080000
2020-05-05,66.896004,68.696999,66.873001,67.555496,67.555496,33030000
2020-05-06,68.084503,68.556000,67.364502,67.364998,67.364998,24308000
2020-05-07,68.296997,68.879997,67.763496,68.627998,68.627998,27952000
2020-05-08,69.156502,69.938004,68.774002,69.418503,69.418503,27738000
2020-05-11,68.914001,70.826500,68.857597,70.163002,70.163002,28242000
2020-05-12,70.356003,70.750000,68.738503,68.787003,68.787003,27812000
2020-05-13,68.852501,69.274101,66.419998,67.466499,67.466499,36252000
2020-05-14,66.750999,67.871002,66.195503,67.806503,67.806503,32062000
2020-05-15,67.500000,68.723999,66.949997,68.659500,68.659500,34154000
2020-05-18,68.087502,69.616249,67.712502,69.196999,69.196999,36448000
2020-05-19,69.349854,69.599998,68.674248,68.674248,68.674248,25612000
2020-05-20,69.478996,70.521004,69.362503,70.335999,70.335999,33108000
2020-05-21,70.400002,70.774498,69.672501,70.139999,70.139999,27700000
2020-05-22,69.835503,70.638000,69.591499,70.521004,70.521004,26188000
2020-05-26,71.863503,72.050003,70.606499,70.850998,70.850998,41212000
2020-05-27,70.862503,71.086998,69.564499,70.891998,70.891998,33716000
2020-05-28,69.843002,72.042000,69.800003,70.836502,70.836502,33844000
2020-05-29,70.847000,71.628502,70.667503,71.445999,71.445999,36418000
2020-06-01,70.919502,71.898003,70.900002,71.591003,71.591003,24342000
2020-06-02,71.527496,71.980499,70.941498,71.960999,71.960999,25562000
2020-06-03,71.915001,72.327599,71.488853,71.819000,71.819000,25124000
2020-06-04,71.519997,71.947998,70.236504,70.609001,70.609001,29686000
2020-06-05,70.658501,72.252502,70.300003,71.919502,71.919502,34698000
2020-06-08,71.116997,72.399498,71.116997,72.330498,72.330498,28084000
2020-06-09,72.267998,73.400002,72.160500,72.807999,72.807999,28184000
2020-06-10,72.976997,73.712952,72.813499,73.292503,73.292503,30504000
2020-06-11,72.124001,72.723747,70.099998,70.192001,70.192001,39826000
2020-06-12,71.424500,71.849998,69.301003,70.658997,70.658997,38928000
2020-06-15,69.540001,71.239998,69.396004,70.992500,70.992500,30078000
2020-06-16,72.261002,72.750999,71.294998,72.136002,72.136002,34184000
2020-06-17,72.358002,73.000000,71.569000,72.556000,72.556000,30992000
2020-06-18,72.458000,72.570503,71.350502,71.797997,71.797997,31638000
2020-06-19,72.199997,72.389999,71.067497,71.585999,71.585999,63158000
2020-06-22,71.449997,72.637497,71.160500,72.593002,72.593002,30848000
2020-06-23,72.781998,73.797050,72.262001,73.220497,73.220497,28596000
2020-06-24,73.075500,73.771004,71.487503,71.598503,71.598503,35120000
2020-06-25,71.495003,72.144997,71.000000,72.066498,72.066498,24610000
2020-06-26,71.569504,71.672501,67.599503,67.995003,67.995003,85354000
2020-06-29,67.908997,69.779999,67.350502,69.748497,69.748497,36204000
2020-06-30,69.522003,70.932503,69.197998,70.680496,70.680496,40848000
2020-07-01,70.555000,72.150002,70.490997,71.902000,71.902000,35504000
2020-07-02,72.347000,74.147499,72.320999,73.235001,73.235001,37182000
2020-07-06,74.002998,75.329498,73.642998,74.785004,74.785004,31280000
2020-07-07,74.500000,75.839996,74.177498,74.259003,74.259003,29164000
2020-07-08,74.716003,75.293999,74.281502,74.800003,74.800003,24994000
2020-07-09,75.322502,76.136002,74.404251,75.549500,75.549500,28466000
2020-07-10,75.307503,77.191498,74.827003,77.086998,77.086998,37126000
2020-07-13,77.500000,78.856598,75.262154,75.567001,75.567001,36928000
2020-07-14,74.515503,76.147499,74.175003,76.028999,76.028999,31700000
2020-07-15,76.156502,76.766502,74.900002,75.681999,75.681999,32214000
2020-07-16,75.000000,75.934502,74.315498,75.900002,75.900002,30386000
2020-07-17,76.081001,76.171997,74.920998,75.777496,75.777496,29134000
2020-07-20,75.763000,78.514503,75.180000,78.286003,78.286003,31146000
2020-07-21,79.349503,79.349503,77.713997,77.920998,77.920998,24324000
2020-07-22,78.025002,78.500000,77.305000,78.424500,78.424500,18640000
2020-07-23,78.348503,78.593498,75.369598,75.783997,75.783997,32552000
2020-07-24,74.946503,75.881798,74.419998,75.593498,75.593498,30880000
2020-07-27,75.779999,77.048500,75.760498,76.510002,76.510002,24920000
2020-07-28,76.259003,76.323997,74.883003,75.016998,75.016998,34044000
2020-07-29,75.316002,76.562599,75.066498,76.100998,76.100998,22130000
2020-07-30,74.849998,76.893501,74.611000,76.572502,76.572502,33428000
2020-07-31,75.250504,75.447502,72.701500,74.148003,74.148003,68798000
2020-08-03,74.332001,74.523499,73.281998,73.722504,73.722504,46604000
2020-08-04,73.828499,74.278000,72.932503,73.248497,73.248497,38070000
2020-08-05,73.464996,74.120499,73.172997,73.680496,73.680496,39590000
2020-08-06,73.587502,75.119499,73.300003,75.004997,75.004997,39908000
2020-08-07,75.000000,75.842247,74.082001,74.724503,74.724503,31556000
2020-08-10,74.359001,75.203751,73.653999,74.805000,74.805000,25786000
2020-08-11,74.622002,75.500000,73.900002,74.015999,74.015999,29088000
2020-08-12,74.278999,75.619301,74.262497,75.331001,75.331001,28740000
2020-08-13,75.516998,76.862503,75.400253,75.922501,75.922501,29104000
2020-08-14,75.782997,76.095001,75.143997,75.386497,75.386497,27096000
2020-08-17,75.733498,76.280502,75.398499,75.899002,75.899002,27566000
2020-08-18,76.308998,78.123497,76.185501,77.930000,77.930000,40542000
2020-08-19,77.665497,78.683998,77.197502,77.376503,77.376503,33212000
2020-08-20,77.172501,79.293503,76.910004,79.087502,79.087502,34138000
2020-08-21,78.851501,79.886002,78.400253,79.021004,79.021004,28930000
2020-08-24,79.698997,80.708504,79.028503,79.410004,79.410004,28198000
2020-08-25,79.103500,80.581001,79.103500,80.411003,80.411003,44942000
2020-08-26,80.400002,82.960999,80.180000,82.619003,82.619003,79868000
2020-08-27,82.683998,82.750000,81.287498,81.716499,81.716499,37232000
2020-08-28,81.674500,82.358498,81.537498,82.220497,82.220497,29980000
2020-08-31,82.394501,82.398247,81.515503,81.709000,81.709000,36468000
2020-09-01,81.831497,83.286499,81.611000,83.035500,83.035500,36506000
2020-09-02,83.688751,86.658997,83.316498,86.414001,86.414001,50224000
2020-09-03,85.485703,85.485703,80.752998,82.092003,82.092003,62156000
2020-09-04,81.212997,82.255501,77.380653,79.552002,79.552002,52172000
2020-09-08,76.675499,78.193253,76.400497,76.619499,76.619499,52218000
2020-09-09,77.876503,78.449997,76.802551,77.848000,77.848000,35494000
2020-09-10,78.031998,79.204048,76.290253,76.600998,76.600998,32372000
2020-09-11,76.800003,78.760002,74.867996,76.036003,76.036003,31942000
2020-09-14,76.950249,78.199997,75.787003,75.963997,75.963997,33932000
2020-09-15,76.800003,77.978500,76.591751,77.071999,77.071999,26622000
2020-09-16,77.777000,78.099998,75.990997,76.044998,76.044998,26234000
2020-09-17,74.800003,75.414902,73.500000,74.776497,74.776497,37596000
2020-09-18,74.900497,75.150146,71.856499,72.999496,72.999496,62078000
2020-09-21,72.002998,72.417999,70.327499,71.557999,71.557999,57776000
2020-09-22,72.504501,73.475998,71.726501,73.273003,73.273003,31664000
2020-09-23,72.939003,73.047997,70.385002,70.760498,70.760498,33148000
2020-09-24,70.551498,72.185448,70.492500,71.414497,71.414497,29004000
2020-09-25,71.631500,72.500000,70.667000,72.248001,72.248001,26460000
2020-09-28,73.710503,73.839996,72.465050,73.225998,73.225998,40158000
2020-09-29,73.519501,73.833153,72.940247,73.466499,73.466499,19564000
2020-09-30,73.339996,74.487503,72.994003,73.480003,73.480003,34032000
2020-10-01,74.213501,74.952003,73.960503,74.504501,74.504501,35590000
2020-10-02,73.101501,74.160004,72.545998,72.920998,72.920998,25682000
2020-10-05,73.310501,74.410500,73.213501,74.301003,74.301003,22266000
2020-10-06,73.778999,74.337997,72.429497,72.671997,72.671997,24908000
2020-10-07,73.214500,73.447998,71.800003,73.014503,73.014503,34924000
2020-10-08,73.254501,74.500000,73.254501,74.296501,74.296501,23756000
2020-10-09,74.735001,75.825996,74.472504,75.761002,75.761002,28706000
2020-10-12,77.150002,79.693001,76.628502,78.457497,78.457497,49652000
2020-10-13,79.186501,79.500000,78.160004,78.584000,78.584000,32020000
2020-10-14,78.929497,79.384201,77.526497,78.403999,78.403999,38586000
2020-10-15,77.357498,78.755249,77.251503,77.956497,77.956497,30800000
2020-10-16,78.292503,79.056503,78.150002,78.650497,78.650497,28694000
2020-10-19,79.023003,79.407501,76.400002,76.730499,76.730499,32142000
2020-10-20,76.352501,78.875000,76.283501,77.796501,77.796501,44834000
2020-10-21,78.666496,80.936501,78.581497,79.665497,79.665497,51366000
2020-10-22,79.652496,81.099503,79.250000,80.766502,80.766502,28672000
2020-10-23,81.303497,82.117996,81.025497,82.050003,82.050003,27516000
2020-10-26,81.250504,81.912003,78.824997,79.522499,79.522499,37066000
2020-10-27,79.783501,80.342247,79.139000,80.212997,80.212997,24580000
2020-10-28,77.987000,78.067497,75.731003,75.831001,75.831001,36680000
2020-10-29,76.117996,79.685501,76.112000,78.362000,78.362000,40062000
2020-10-30,83.605499,84.349998,80.223000,81.050499,81.050499,86582000
2020-11-02,81.407997,83.038498,80.801498,81.301498,81.301498,50708000
2020-11-03,81.588997,83.084999,80.831001,82.510498,82.510498,33234000
2020-11-04,85.514000,88.568253,85.301498,87.456497,87.456497,71418000
2020-11-05,89.050003,89.681999,87.525497,88.168503,88.168503,41316000
2020-11-06,87.697502,88.621498,87.017502,88.087502,88.087502,33218000
2020-11-09,89.544998,90.903000,88.000999,88.150002,88.150002,45366000
2020-11-10,86.554497,88.150002,85.864998,87.019501,87.019501,52722000
2020-11-11,87.500000,88.210999,87.368248,87.635498,87.635498,25280000
2020-11-12,87.381500,88.413498,87.279999,87.491997,87.491997,24950000
2020-11-13,87.881500,89.052002,87.227501,88.850998,88.850998,29998000
2020-11-16,88.584999,89.953499,88.384499,89.069000,89.069000,24936000
2020-11-17,88.847000,89.250000,88.349998,88.507500,88.507500,22942000
2020-11-18,88.261497,88.673500,87.306999,87.338997,87.338997,23470000
2020-11-19,86.918999,88.479500,86.850250,88.195999,88.195999,24998000
2020-11-20,88.260498,88.699997,87.093002,87.109497,87.109497,46270000
2020-11-23,87.480003,87.695000,85.886002,86.742996,86.742996,43232000
2020-11-24,86.525002,88.580002,86.384499,88.444000,88.444000,31560000
2020-11-25,88.644501,88.927002,87.827003,88.571503,88.571503,20916000
2020-11-27,88.654503,90.199997,88.622002,89.659500,89.659500,17698000
2020-11-30,89.059196,89.403252,87.750000,88.037003,88.037003,36476000
2020-12-01,88.718498,91.241501,88.468498,89.904999,89.904999,34738000
2020-12-02,89.904999,91.782501,89.473648,91.397499,91.397499,24440000
2020-12-03,91.200500,92.360001,91.132500,91.338501,91.338501,24546000
2020-12-04,91.225998,91.657997,90.849503,91.399498,91.399498,27564000
2020-12-07,90.949997,91.618500,90.289001,90.973999,90.973999,26418000
2020-12-08,90.504997,91.095001,89.810249,90.927498,90.927498,21926000
2020-12-09,90.600502,91.713501,88.390503,89.206497,89.206497,30152000
2020-12-10,88.489998,89.065498,87.015999,88.766502,88.766502,27256000
2020-12-11,88.153000,89.222504,88.000000,89.088501,89.088501,24414000
2020-12-14,88.750000,89.869499,87.860748,88.002998,88.002998,32004000
2020-12-15,88.221001,88.570999,87.497498,88.388496,88.388496,29646000
2020-12-16,88.643997,88.650002,87.804001,88.150002,88.150002,30270000
2020-12-17,88.425499,88.589203,86.932999,87.394997,87.394997,32494000
2020-12-18,87.709000,87.755501,86.011002,86.550499,86.550499,80328000
2020-12-21,85.675499,87.042503,84.949997,86.968498,86.968498,36568000
2020-12-22,86.721497,86.870247,85.628754,86.175003,86.175003,18734000
2020-12-23,86.405502,87.399498,86.251999,86.619003,86.619003,20676000
2020-12-24,86.750000,87.300003,86.455498,86.942497,86.942497,6936000
2020-12-28,87.581749,89.536400,87.316750,88.804497,88.804497,27860000
2020-12-29,89.389503,89.622002,87.804497,87.935997,87.935997,25988000
2020-12-30,88.100502,88.254753,86.279999,86.975998,86.975998,26122000
2020-12-31,86.771004,87.946503,86.771004,87.594002,87.594002,20238000
2021-01-04,87.876999,88.032501,85.392502,86.412003,86.412003,38038000
