DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2020,44.9673470573736,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,35.4095574909909,55.5267825799491,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0: Infant mortality rate,_T: Total,2020,8.75842590147946,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.01733222490019,9.56265627901836,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0: Infant mortality rate,_T: Total,2020,19.4601920749474,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,18.4683370521829,20.5213490994521,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_MRY0: Infant mortality rate,_T: Total,2020,2.3805190308403,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.42140782343334,3.97156242225378,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,CME_MRY0: Infant mortality rate,_T: Total,2020,48.3379567968444,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,24.5533590009368,87.454321161636,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0: Infant mortality rate,_T: Total,2020,5.37702246725868,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.60273797576736,7.96366805503375,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,CME_MRY0: Infant mortality rate,_T: Total,2020,7.60766111261881,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.22556585948147,8.00406189134243,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,CME_MRY0: Infant mortality rate,_T: Total,2020,9.74308292578948,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.25780513837103,12.3148597642653,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,CME_MRY0: Infant mortality rate,_T: Total,2020,3.14106216479608,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.02516359771153,3.26363623866323,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUT: Austria,CME_MRY0: Infant mortality rate,_T: Total,2020,2.96582429263873,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.7621523688392,3.18644196675928,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,CME_MRY0: Infant mortality rate,_T: Total,2020,17.3197286341332,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,10.5558468291917,27.8789218882738,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHS: Bahamas,CME_MRY0: Infant mortality rate,_T: Total,2020,10.5333710112573,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.85408105952162,14.0467534821474,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHR: Bahrain,CME_MRY0: Infant mortality rate,_T: Total,2020,5.77777388582926,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.34423265603163,7.72527366787711,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,CME_MRY0: Infant mortality rate,_T: Total,2020,24.3234614092362,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.1975603732796,26.6243514813254,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,CME_MRY0: Infant mortality rate,_T: Total,2020,11.3769807530513,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.72756393447965,16.9202944732054,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,CME_MRY0: Infant mortality rate,_T: Total,2020,2.19081703830715,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,1.96121337021938,2.42526946695424,,The UN IGME estimates are not necessarily the official statistics of the National Statistical Committee of the Republic of Belarus.,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEL: Belgium,CME_MRY0: Infant mortality rate,_T: Total,2020,3.43992822565269,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.07018937266436,3.89703501137041,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,CME_MRY0: Infant mortality rate,_T: Total,2020,10.0300530785411,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.42732030742991,12.0240997260365,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,CME_MRY0: Infant mortality rate,_T: Total,2020,56.5379162499958,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,48.5865955753389,65.8554215381031,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,CME_MRY0: Infant mortality rate,_T: Total,2020,23.1775284567093,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,14.4084814095001,35.5106515581221,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BOL: Bolivia (Plurinational State of),CME_MRY0: Infant mortality rate,_T: Total,2020,20.7171604592693,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,14.9262155694107,28.1970543691578,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BIH: Bosnia and Herzegovina,CME_MRY0: Infant mortality rate,_T: Total,2020,4.94875183897281,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.01122819773025,6.0937927058501,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BWA: Botswana,CME_MRY0: Infant mortality rate,_T: Total,2020,36.0830367433431,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.0987652447723,65.6224489414483,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRA: Brazil,CME_MRY0: Infant mortality rate,_T: Total,2020,13.1308269713587,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,11.5278243776004,14.9187733299884,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRN: Brunei Darussalam,CME_MRY0: Infant mortality rate,_T: Total,2020,9.64416077131292,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.32353838957443,11.1869237762887,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGR: Bulgaria,CME_MRY0: Infant mortality rate,_T: Total,2020,5.13822158272205,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,4.7994151811072,5.50152608804526,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BFA: Burkina Faso,CME_MRY0: Infant mortality rate,_T: Total,2020,52.8232108453967,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.0710117152057,68.6835884647636,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BDI: Burundi,CME_MRY0: Infant mortality rate,_T: Total,2020,38.6358030063786,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,26.6230453451942,56.1816534233939,,,,UN_IGME,,,,,,_T: Total
