folder,image_name,coins_count
all_coins,01207e3d7e.jpg,5
all_coins,0140acf6eb.jpg,4
all_coins,025c8579f0.jpg,2
all_coins,028ca794e7.jpg,4
all_coins,02e080206f.jpg,40
all_coins,0391d1cd81.jpg,1
all_coins,03ab6f403f.jpg,2
all_coins,05c7bef607.jpg,3
all_coins,06592a2984.jpg,1
all_coins,06dbf139bd.jpg,3
all_coins,06de4d46b4.jpg,14
all_coins,0712ebe773.jpg,15
all_coins,078aaee7f6.jpg,2
all_coins,0992f9217f.jpg,16
all_coins,0bcb8457d5.jpg,11
all_coins,0c0f693a3e.jpg,10
all_coins,0c7067ece2.jpg,1
all_coins,11178d409d.jpg,8
all_coins,14080c2080.jpg,9
all_coins,1573c64a86.jpg,6
all_coins,1576817f96.jpg,1
all_coins,16f46adcc2.jpg,4
all_coins,1a1db517f0.jpg,1
all_coins,1a203989bd.jpg,34
all_coins,1d5fb7f409.jpg,4
all_coins,1e5109de3a.jpg,8
all_coins,1f3c0f520a.jpg,2
all_coins,207092513f.jpg,8
all_coins,209529add9.jpg,3
all_coins,21ad309395.jpg,15
all_coins,23560e97ad.jpg,15
all_coins,244d4d4639.jpg,10
all_coins,24699d577c.jpg,1
all_coins,2564ee861d.jpg,12
all_coins,26fb204f51.jpg,3
all_coins,27ad5d7140.jpg,9
all_coins,2895e89ff2.jpg,20
all_coins,2bf5e82e5a.jpg,8
all_coins,2c8f0e58fb.jpg,2
all_coins,2ed9a9c1e2.jpg,8
all_coins,2f52601471.jpg,3
all_coins,2fc068f84e.jpg,7
all_coins,31357b26f3.jpg,5
all_coins,31e4b72f06.jpg,1
all_coins,321f79f6bb.jpg,2
all_coins,342d14adbd.jpg,5
all_coins,35f856e199.jpg,5
all_coins,3613533eef.jpg,2
all_coins,3731e4b26c.jpg,28
all_coins,3942739722.jpg,1
all_coins,3a31d6cc15.jpg,5
all_coins,3c64dca0b6.jpg,21
all_coins,3d315bb61e.jpg,30
all_coins,3fa08174b0.jpg,5
all_coins,419d2d60c3.jpg,20
all_coins,41ee53b36e.jpg,16
all_coins,420cd5cadc.jpg,9
all_coins,421f429a45.jpg,8
all_coins,424d624a79.jpg,2
all_coins,4291a46303.jpg,3
all_coins,42a0da06b7.jpg,2
all_coins,4359d7bf90.jpg,3
all_coins,43de9c935d.jpg,1
all_coins,444107b8c9.jpg,14
all_coins,4464e8c6c9.jpg,1
all_coins,44cf53bcde.jpg,16
all_coins,44e195e1ef.jpg,8
all_coins,46076bb5d5.jpg,5
all_coins,47b061170d.jpg,8
all_coins,48fa79d7ae.jpg,8
all_coins,49fd927d4c.jpg,5
all_coins,4a1315d458.jpg,2
all_coins,4a4bd0f725.jpg,40
all_coins,4ba1b09981.jpg,2
all_coins,4c0fee8a9c.jpg,16
all_coins,4ca15155e9.jpg,2
all_coins,4e47138c7e.jpg,6
all_coins,4e95f6db6a.jpg,24
all_coins,4e9e203a40.jpg,9
all_coins,4fe02e46cb.jpg,2
all_coins,50797d435f.jpg,34
all_coins,50e7fe98b7.jpg,35
all_coins,5189314af4.jpg,2
all_coins,563563f749.jpg,5
all_coins,566b1031a8.jpg,20
all_coins,569a5a3984.jpg,1
all_coins,5ab456ac02.jpg,11
all_coins,5b7a05e3dd.jpg,7
all_coins,5d6b82679d.jpg,4
all_coins,5edc210162.jpg,3
all_coins,5f8a04cee8.jpg,7
all_coins,609e94b29b.jpg,16
all_coins,60fc6231cd.jpg,5
all_coins,612e80df45.jpg,7
all_coins,61958bd2dd.jpg,5
all_coins,670dc0a72f.jpg,2
all_coins,681165d9f1.jpg,4
all_coins,6bf1678fa3.jpg,2
all_coins,6bf4f833a4.jpg,8
all_coins,6c8ccc2bdc.jpg,2
all_coins,6d2e7e9448.jpg,9
all_coins,6d4d37ae2c.jpg,5
all_coins,6da8539078.jpg,5
all_coins,6dc3173bf2.jpg,8
all_coins,716dcf2d66.jpg,3
all_coins,7262427976.jpg,1
all_coins,72d0dbe5f5.jpg,34
all_coins,766f507935.jpg,16
all_coins,767455e3f9.jpg,2
all_coins,7779953784.jpg,2
all_coins,782058a969.jpg,5
all_coins,79eb826b40.jpg,24
all_coins,7c13cfe7f1.jpg,1
all_coins,7c3720e174.jpg,7
all_coins,7c7942b825.jpg,8
all_coins,7ce16206bb.jpg,8
all_coins,7e122f5d1f.jpg,8
all_coins,827d23c09e.jpg,8
all_coins,85db729dc0.jpg,16
all_coins,85e4b42fb6.jpg,8
all_coins,8605748432.jpg,20
all_coins,868bb275c3.jpg,8
all_coins,87a1c3b8af.jpg,5
all_coins,87f4bed37f.jpg,2
all_coins,898beeed4c.jpg,1
all_coins,8c7c691333.jpg,1
all_coins,8e89dfa19b.jpg,6
all_coins,9082197e8c.jpg,1
all_coins,908f1fc748.jpg,1
all_coins,91851d8baa.jpg,1
all_coins,94b5bdb199.jpg,4
all_coins,962d332c3c.jpg,6
all_coins,97868f7555.jpg,5
all_coins,97e6af6151.jpg,7
all_coins,980bc77535.jpg,3
all_coins,98e915fe15.jpg,2
all_coins,990db901a0.jpg,34
all_coins,9981524f15.jpg,1
all_coins,9ab6493bdc.jpg,2
all_coins,9b1df4ab21.jpg,2
all_coins,9bdccee820.jpg,8
all_coins,9d2dea7b8f.jpg,9
all_coins,9e575d70ea.jpg,3
all_coins,9ef3898d38.jpg,4
all_coins,a15f18c804.jpg,7
all_coins,a188d78b85.jpg,5
all_coins,a19f00a771.jpg,8
all_coins,a1fae3d9ea.jpg,26
all_coins,a5faa8e072.jpg,23
all_coins,a61fb409e8.jpg,1
all_coins,a9515c596b.jpg,20
all_coins,aaf925663f.jpg,5
all_coins,abd33e40b9.jpg,6
all_coins,ad43774456.jpg,2
all_coins,ae2a9d0217.jpg,2
all_coins,afc5895108.jpg,10
all_coins,afed6c9305.jpg,2
all_coins,b05183cf6c.jpg,1
all_coins,b22b3d9c4e.jpg,1
all_coins,b2ff113277.jpg,3
all_coins,b36a35b1cf.jpg,4
all_coins,b490ad931a.jpg,16
all_coins,b61d911828.jpg,30
all_coins,b65bf338f7.jpg,10
all_coins,bb8b54822f.jpg,4
all_coins,bc673941fb.jpg,6
all_coins,bc6914ff98.jpg,1
all_coins,bd5e683f30.jpg,6
all_coins,bd7c825ab5.jpg,2
all_coins,bdddd66dc5.jpg,8
all_coins,be037b359a.jpg,26
all_coins,c0ac04a0cf.jpg,1
all_coins,c13910bc18.jpg,2
all_coins,c1a9fbb8bc.jpg,7
all_coins,c20d83cdfe.jpg,1
all_coins,c2d0445950.jpg,2
all_coins,c36182ac9a.jpg,4
all_coins,c3ddc33f41.jpg,2
all_coins,c45fe65ea2.jpg,1
all_coins,c61640a9c1.jpg,8
all_coins,c99b8f0e24.jpg,14
all_coins,cb1e6a6967.jpg,8
all_coins,cb4769d1a9.jpg,24
all_coins,cf0943d302.jpg,1
all_coins,d0a3c1f8d3.jpg,9
all_coins,d339767881.jpg,2
all_coins,d3a549a4ac.jpg,1
all_coins,d4a5b2ad56.jpg,8
all_coins,d603d1e7e2.jpg,16
all_coins,d7416e5a02.jpg,1
all_coins,d74bf34efc.jpg,35
all_coins,d87fde36bf.jpg,8
all_coins,d8e50e61e9.jpg,8
all_coins,dc76e7bc74.jpg,9
all_coins,e036bb9f36.jpg,1
all_coins,e458d60056.jpg,1
all_coins,e464aa2ba3.jpg,6
all_coins,e48a9d76fa.jpg,1
all_coins,e5498c038d.jpg,12
all_coins,e56270ad8e.jpg,1
